Standort;Messzeitpunkt;Stunde;Wochentag;Wochentag ID;Kalenderwoche;Quartal;Lokale Zeitzone;Zeitintervall;Passantenaufkommen pro Standort;Richtung;Passantentyp;Passantenanzahl;ID;Kommune
Westenhellweg (Mitte);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;814;Richtung - Hansastraße;Erwachsene;318;49;Dortmund
Westenhellweg (Mitte);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;814;Richtung - Petrikirche;Erwachsene;486;49;Dortmund
Westenhellweg (West);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;420;Richtung - Ostenhellweg;Erwachsene;123;575;Dortmund
Westenhellweg (West);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;420;Richtung - Westentor;Erwachsene;293;575;Dortmund
Westenhellweg (West);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;420;Richtung - Westentor;Kinder;3;575;Dortmund
Westenhellweg (Ost);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;836;Richtung - Hansastraße;Erwachsene;549;246;Dortmund
Westenhellweg (Ost);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;836;Richtung - Ostenhellweg;Kinder;6;246;Dortmund
Westenhellweg (Ost);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;836;Richtung - Hansastraße;Kinder;10;246;Dortmund
Westenhellweg (Mitte);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;814;Richtung - Petrikirche;Kinder;7;49;Dortmund
Westenhellweg (West);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;420;Richtung - Ostenhellweg;Kinder;1;575;Dortmund
Westenhellweg (Mitte);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;814;Richtung - Hansastraße;Kinder;3;49;Dortmund
Westenhellweg (Ost);2025-12-31T23:00:00+00:00;0;Donnerstag;4;1;1;Europe/Berlin;hour;836;Richtung - Ostenhellweg;Erwachsene;271;246;Dortmund
Westenhellweg (Mitte);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;257;Richtung - Hansastraße;Erwachsene;137;49;Dortmund
Westenhellweg (Mitte);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;257;Richtung - Petrikirche;Erwachsene;120;49;Dortmund
Westenhellweg (West);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;184;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (Ost);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;197;Richtung - Ostenhellweg;Erwachsene;116;246;Dortmund
Westenhellweg (Ost);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;197;Richtung - Hansastraße;Kinder;0;246;Dortmund
Westenhellweg (Ost);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;197;Richtung - Ostenhellweg;Kinder;3;246;Dortmund
Westenhellweg (Mitte);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;257;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Mitte);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;257;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;184;Richtung - Westentor;Erwachsene;121;575;Dortmund
Westenhellweg (West);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;184;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T00:00:00+00:00;1;Donnerstag;4;1;1;Europe/Berlin;hour;184;Richtung - Ostenhellweg;Erwachsene;63;575;Dortmund
