Zeit;KOE Steinstraße IN;KOE Steinstraße OUT;Symbol Wetter;Temperatur ( °C);Regen (mm)
01-01-2025 00:00:00;0;2;Sonnig;6;0
01-01-2025 01:00:00;1;1;Leicht bewoelkt;6;0
01-01-2025 02:00:00;1;2;Leicht bewoelkt;6;0
01-01-2025 03:00:00;4;5;Sonnig;6;0
01-01-2025 04:00:00;1;2;Sonnig;6;0
01-01-2025 05:00:00;1;2;Sonnig;6;0
01-01-2025 06:00:00;0;0;Bedeckt;7;0
01-01-2025 07:00:00;0;0;Bedeckt;7;0
01-01-2025 08:00:00;0;0;Sonnig;7;0
01-01-2025 09:00:00;0;2;Bewoelkt;7;0
01-01-2025 10:00:00;2;1;Bewoelkt;7;0
01-01-2025 11:00:00;8;6;Bedeckt;8;0
01-01-2025 12:00:00;14;8;Bedeckt;8;0
01-01-2025 13:00:00;7;12;Bedeckt;8;0
01-01-2025 14:00:00;7;12;Bedeckt;9;0
01-01-2025 15:00:00;7;10;Bedeckt;9;0
01-01-2025 16:00:00;10;7;Bedeckt;9;0
01-01-2025 17:00:00;1;9;Bedeckt;9;0
01-01-2025 18:00:00;4;12;Bedeckt;9;0
01-01-2025 19:00:00;4;3;Bedeckt;9;0
01-01-2025 20:00:00;2;4;Bedeckt;9;0
01-01-2025 21:00:00;0;0;Stellenweiser Regenfall;9;0
01-01-2025 22:00:00;0;2;Nieselregen;8;0,6
01-01-2025 23:00:00;0;0;Leichter Regenfall;7;1,5
02-01-2025 00:00:00;2;1;Leichter Regenfall;6;2,1
02-01-2025 01:00:00;2;1;Leichter Regenfall;5;1,7
02-01-2025 02:00:00;0;0;Leichter Regenfall;5;1,7
02-01-2025 03:00:00;0;0;Leichter Regenfall;4;1
02-01-2025 04:00:00;0;0;Leichter Regenfall;4;1,1
02-01-2025 05:00:00;2;1;Nieselregen;4;0,6
02-01-2025 06:00:00;1;4;Nieselregen;4;0,4
02-01-2025 07:00:00;13;7;Nieselregen;4;0,2
02-01-2025 08:00:00;20;19;Nieselregen;4;0,4
02-01-2025 09:00:00;29;16;Stellenweiser Regenfall;4;0,1
02-01-2025 10:00:00;23;17;Bewoelkt;4;0
02-01-2025 11:00:00;23;23;Sonnig;5;0
02-01-2025 12:00:00;13;28;Leicht bewoelkt;5;0
02-01-2025 13:00:00;19;26;Sonnig;5;0
02-01-2025 14:00:00;17;42;Stellenweiser Regenfall;5;0,1
02-01-2025 15:00:00;25;37;Stellenweiser Regenfall;5;0,1
02-01-2025 16:00:00;21;43;Stellenweiser Eisregen;5;0,2
02-01-2025 17:00:00;19;47;Leicht bewoelkt;4;0
02-01-2025 18:00:00;21;27;Stellenweiser Regenfall;4;0,1
02-01-2025 19:00:00;17;27;Stellenweiser Regenfall;3;0
02-01-2025 20:00:00;6;14;Stellenweiser Regenfall;3;0,1
02-01-2025 21:00:00;1;7;Stellenweiser Regenfall;2;0
02-01-2025 22:00:00;2;2;Leicht bewoelkt;2;0
02-01-2025 23:00:00;0;0;Leicht bewoelkt;2;0
03-01-2025 00:00:00;2;0;Leichte Schneeschauer;1;0,1
03-01-2025 01:00:00;0;1;Leichter Schneefall;1;0
03-01-2025 02:00:00;0;0;Bewoelkt;1;0
03-01-2025 03:00:00;1;1;Leicht bewoelkt;1;0
03-01-2025 04:00:00;1;0;Leicht bewoelkt;1;0
03-01-2025 05:00:00;1;3;Leichter Eisregen;0;0
03-01-2025 06:00:00;5;2;Maeßige bis starke Schneefaelle;1;0,1
03-01-2025 07:00:00;6;8;Maeßige bis starke Schneefaelle;1;0,1
03-01-2025 08:00:00;13;16;Leichte Schneeschauer;1;0,1
03-01-2025 09:00:00;12;20;Stellenweise leichter Schneefall;1;0
03-01-2025 10:00:00;11;20;Leichte Schneeschauer;2;0,1
03-01-2025 11:00:00;16;48;Leicht bewoelkt;2;0
03-01-2025 12:00:00;13;44;Sonnig;3;0
03-01-2025 13:00:00;20;35;Sonnig;3;0
03-01-2025 14:00:00;7;42;Leicht bewoelkt;3;0
03-01-2025 15:00:00;24;40;Leichter Schneefall;3;0
03-01-2025 16:00:00;23;37;Maeßiger Schneefall;2;0,2
03-01-2025 17:00:00;20;28;Starker Schneefall;2;0,4
03-01-2025 18:00:00;13;22;Starker Schneefall;2;0,7
03-01-2025 19:00:00;12;8;Starker Schneefall;1;0,6
03-01-2025 20:00:00;6;5;Starker Schneefall;1;0,4
03-01-2025 21:00:00;5;5;Nebel;1;0
03-01-2025 22:00:00;4;2;Leichter Nebel;1;0
03-01-2025 23:00:00;1;2;Leichter Nebel;1;0
04-01-2025 00:00:00;1;2;Stellenweiser Regenfall;1;0
04-01-2025 01:00:00;0;0;Bewoelkt;1;0
04-01-2025 02:00:00;0;1;Leicht bewoelkt;1;0
04-01-2025 03:00:00;0;0;Leicht bewoelkt;1;0
04-01-2025 04:00:00;0;0;Leicht bewoelkt;1;0
04-01-2025 05:00:00;0;0;Leicht bewoelkt;1;0
04-01-2025 06:00:00;0;1;Leicht bewoelkt;1;0
04-01-2025 07:00:00;1;2;Leicht bewoelkt;1;0
04-01-2025 08:00:00;6;2;Leicht bewoelkt;1;0
04-01-2025 09:00:00;7;9;Leicht bewoelkt;1;0
04-01-2025 10:00:00;14;17;Leicht bewoelkt;1;0
04-01-2025 11:00:00;14;25;Leicht bewoelkt;1;0
04-01-2025 12:00:00;31;43;Bedeckt;2;0
04-01-2025 13:00:00;14;30;Bedeckt;2;0
04-01-2025 14:00:00;21;28;Bedeckt;2;0
04-01-2025 15:00:00;23;22;Bedeckt;2;0
04-01-2025 16:00:00;21;32;Bedeckt;2;0
04-01-2025 17:00:00;17;27;Bedeckt;2;0
04-01-2025 18:00:00;19;24;Bedeckt;2;0
04-01-2025 19:00:00;14;15;Bedeckt;2;0
04-01-2025 20:00:00;6;5;Bedeckt;1;0
04-01-2025 21:00:00;1;3;Leichter Schneefall;1;0
04-01-2025 22:00:00;9;1;Leichter Schneefall;1;0
04-01-2025 23:00:00;6;7;Maeßiger Schneefall;1;0,1
05-01-2025 00:00:00;1;3;Stellenweiser Regenfall;1;0,1
05-01-2025 01:00:00;0;1;Starker Schneefall;1;0,4
05-01-2025 02:00:00;2;2;Maeßiger Schneefall;1;0,2
05-01-2025 03:00:00;0;1;Starker Schneefall;1;0,7
