Zeit;Oberkasseler Bruecke Richtung Innenstadt;Oberkasseler Bruecke Richtung Oberkassel;Symbol Wetter;Temperatur ( °C);Regen (mm)
01-01-2025 00:00:00;7;12;;;
01-01-2025 01:00:00;2;12;;;
01-01-2025 02:00:00;9;5;;;
01-01-2025 03:00:00;3;10;;;
01-01-2025 04:00:00;4;6;;;
01-01-2025 05:00:00;2;2;;;
01-01-2025 06:00:00;1;7;;;
01-01-2025 07:00:00;1;3;;;
01-01-2025 08:00:00;1;2;;;
01-01-2025 09:00:00;7;3;;;
01-01-2025 10:00:00;10;8;;;
01-01-2025 11:00:00;22;11;;;
01-01-2025 12:00:00;6;19;;;
01-01-2025 13:00:00;18;20;;;
01-01-2025 14:00:00;22;18;;;
01-01-2025 15:00:00;18;16;;;
01-01-2025 16:00:00;14;14;;;
01-01-2025 17:00:00;22;21;;;
01-01-2025 18:00:00;18;15;;;
01-01-2025 19:00:00;10;8;;;
01-01-2025 20:00:00;6;15;;;
01-01-2025 21:00:00;4;5;;;
01-01-2025 22:00:00;2;6;;;
01-01-2025 23:00:00;1;0;;;
02-01-2025 00:00:00;0;1;;;
02-01-2025 01:00:00;0;0;;;
02-01-2025 02:00:00;1;0;;;
02-01-2025 03:00:00;1;1;;;
02-01-2025 04:00:00;1;2;;;
02-01-2025 05:00:00;0;3;;;
02-01-2025 06:00:00;8;6;;;
02-01-2025 07:00:00;29;23;;;
02-01-2025 08:00:00;53;33;;;
02-01-2025 09:00:00;43;20;;;
02-01-2025 10:00:00;42;25;;;
02-01-2025 11:00:00;49;29;;;
02-01-2025 12:00:00;51;44;;;
02-01-2025 13:00:00;56;47;;;
02-01-2025 14:00:00;55;60;;;
02-01-2025 15:00:00;56;59;;;
02-01-2025 16:00:00;52;70;;;
02-01-2025 17:00:00;43;67;;;
02-01-2025 18:00:00;46;52;;;
02-01-2025 19:00:00;33;42;;;
02-01-2025 20:00:00;16;34;;;
02-01-2025 21:00:00;8;9;;;
02-01-2025 22:00:00;9;12;;;
