location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Neumarkt pedestrians count;towards Neuer Wall pedestrians count;adult pedestrians count;child pedestrians count;adult towards Neumarkt pedestrians count;adult towards Neuer Wall pedestrians count;child towards Neumarkt pedestrians count;child towards Neuer Wall pedestrians count;zone 1 pedestrians count;zone 1 towards Neumarkt pedestrians count;zone 1 towards Neuer Wall pedestrians count;zone 2 pedestrians count;zone 2 towards Neumarkt pedestrians count;zone 2 towards Neuer Wall pedestrians count;collection_type
Steinstraße, Moers;2025-04-01 00:00:00 +0200;Tuesday;15588;14;partly-cloudy-day;;7710;7878;15049;539;7443;7606;267;272;7570;4879;2691;8018;2831;5187;mixed
Steinstraße, Moers;2025-04-02 00:00:00 +0200;Wednesday;14027;19;partly-cloudy-day;;6921;7106;13496;531;6648;6848;273;258;6253;4065;2188;7774;2856;4918;measured
Steinstraße, Moers;2025-04-03 00:00:00 +0200;Thursday;15354;21;partly-cloudy-day;;7590;7764;14759;595;7283;7476;307;288;6435;4223;2212;8919;3367;5552;measured
Steinstraße, Moers;2025-04-04 00:00:00 +0200;Friday;19019;23;clear-day;;9624;9395;18290;729;9235;9055;389;340;8762;5987;2775;10257;3637;6620;measured
Steinstraße, Moers;2025-04-05 00:00:00 +0200;Saturday;20455;17;partly-cloudy-day;;10355;10100;19731;724;9956;9775;399;325;9880;6856;3024;10575;3499;7076;measured
Steinstraße, Moers;2025-04-06 00:00:00 +0200;Sunday;34360;13;clear-day;;17610;16750;32815;1545;16807;16008;803;742;17377;14521;2856;16983;3089;13894;measured
Steinstraße, Moers;2025-04-07 00:00:00 +0200;Monday;13437;14;clear-day;;6662;6775;12973;464;6414;6559;248;216;5725;3708;2017;7712;2954;4758;measured
Steinstraße, Moers;2025-04-08 00:00:00 +0200;Tuesday;14783;17;partly-cloudy-day;;7444;7339;14215;568;7146;7069;298;270;6353;4205;2148;8430;3239;5191;measured
Steinstraße, Moers;2025-04-09 00:00:00 +0200;Wednesday;13564;15;partly-cloudy-day;;6727;6837;13050;514;6458;6592;269;245;6460;4026;2434;7104;2701;4403;measured
Steinstraße, Moers;2025-04-10 00:00:00 +0200;Thursday;13289;14;partly-cloudy-day;;6624;6665;12819;470;6371;6448;253;217;5880;3775;2105;7409;2849;4560;measured
Steinstraße, Moers;2025-04-11 00:00:00 +0200;Friday;15499;19;partly-cloudy-day;;7892;7607;15004;495;7608;7396;284;211;6574;4500;2074;8925;3392;5533;measured
Steinstraße, Moers;2025-04-12 00:00:00 +0200;Saturday;19624;24;partly-cloudy-day;;9828;9796;18853;771;9420;9433;408;363;8248;5839;2409;11376;3989;7387;measured
Steinstraße, Moers;2025-04-13 00:00:00 +0200;Sunday;3199;17;rain;;1605;1594;3093;106;1552;1541;53;53;1239;853;386;1960;752;1208;measured
Steinstraße, Moers;2025-04-14 00:00:00 +0200;Monday;16837;19;partly-cloudy-day;;8448;8389;16189;648;8097;8092;351;297;7454;4937;2517;9383;3511;5872;measured
Steinstraße, Moers;2025-04-15 00:00:00 +0200;Tuesday;12788;20;rain;;6374;6414;12347;441;6136;6211;238;203;5681;3734;1947;7107;2640;4467;measured
Steinstraße, Moers;2025-04-16 00:00:00 +0200;Wednesday;9377;12;rain;;4548;4829;9131;246;4426;4705;122;124;4045;2381;1664;5332;2167;3165;measured
Steinstraße, Moers;2025-04-17 00:00:00 +0200;Thursday;12384;10;rain;;6123;6261;12074;310;5960;6114;163;147;5369;3440;1929;7015;2683;4332;measured
Steinstraße, Moers;2025-04-18 00:00:00 +0200;Friday;3942;13;rain;;1978;1964;3821;121;1907;1914;71;50;1683;1059;624;2259;919;1340;measured
Steinstraße, Moers;2025-04-19 00:00:00 +0200;Saturday;20299;17;partly-cloudy-day;;10111;10188;19550;749;9713;9837;398;351;8815;6246;2569;11484;3865;7619;measured
Steinstraße, Moers;2025-04-20 00:00:00 +0200;Sunday;3343;20;rain;;1711;1632;3222;121;1643;1579;68;53;1318;879;439;2025;832;1193;measured
Steinstraße, Moers;2025-04-21 00:00:00 +0200;Monday;3831;17;rain;;1903;1928;3692;139;1838;1854;65;74;1498;1001;497;2333;902;1431;measured
Steinstraße, Moers;2025-04-22 00:00:00 +0200;Tuesday;15905;18;rain;;7958;7947;15289;616;7640;7649;318;298;6685;4537;2148;9220;3421;5799;measured
Steinstraße, Moers;2025-04-23 00:00:00 +0200;Wednesday;11033;16;rain;;5542;5491;10674;359;5335;5339;207;152;5159;3320;1839;5874;2222;3652;measured
Steinstraße, Moers;2025-04-24 00:00:00 +0200;Thursday;4553;12;rain;;2136;2417;4432;121;2072;2360;64;57;1894;1111;783;2659;1025;1634;measured
Steinstraße, Moers;2025-04-25 00:00:00 +0200;Friday;15689;13;rain;;7926;7763;15146;543;7624;7522;302;241;7390;4959;2431;8299;2967;5332;measured
