location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Lappan pedestrians count;towards Markt pedestrians count;adult pedestrians count;child pedestrians count;adult towards Lappan pedestrians count;adult towards Markt pedestrians count;child towards Lappan pedestrians count;child towards Markt pedestrians count;zone 1 pedestrians count;zone 1 towards Lappan pedestrians count;zone 1 towards Markt pedestrians count;zone 2 pedestrians count;zone 2 towards Lappan pedestrians count;zone 2 towards Markt pedestrians count;collection_type
Achternstraße, Oldenburg;2025-01-01 00:00:00 +0100;Wednesday;3654;9;rain;;2217;1437;3585;69;2170;1415;47;22;2280;1648;632;1374;569;805;measured
Achternstraße, Oldenburg;2025-01-02 00:00:00 +0100;Thursday;23887;6;rain;;13452;10435;22773;1114;12803;9970;649;465;18431;12414;6017;5456;1038;4418;measured
Achternstraße, Oldenburg;2025-01-03 00:00:00 +0100;Friday;18246;2;snow;;10142;8104;17627;619;9793;7834;349;270;12987;9056;3931;5259;1086;4173;measured
Achternstraße, Oldenburg;2025-01-04 00:00:00 +0100;Saturday;25671;2;partly-cloudy-day;;14563;11108;24792;879;14104;10688;459;420;18636;13271;5365;7035;1292;5743;measured
Achternstraße, Oldenburg;2025-01-05 00:00:00 +0100;Sunday;1728;11;snow;;985;743;1683;45;961;722;24;21;926;664;262;802;321;481;measured
Achternstraße, Oldenburg;2025-01-06 00:00:00 +0100;Monday;12565;12;rain;;6784;5781;12002;563;6457;5545;327;236;9071;5965;3106;3494;819;2675;measured
Achternstraße, Oldenburg;2025-01-07 00:00:00 +0100;Tuesday;12854;6;rain;;6872;5982;12234;620;6563;5671;309;311;9276;6202;3074;3578;670;2908;measured
Achternstraße, Oldenburg;2025-01-08 00:00:00 +0100;Wednesday;14598;5;rain;;8058;6540;13887;711;7645;6242;413;298;10306;7064;3242;4292;994;3298;measured
Achternstraße, Oldenburg;2025-01-09 00:00:00 +0100;Thursday;12253;2;snow;;6504;5749;11637;616;6149;5488;355;261;8360;5709;2651;3893;795;3098;measured
Achternstraße, Oldenburg;2025-01-10 00:00:00 +0100;Friday;15468;4;snow;;8469;6999;14836;632;8136;6700;333;299;11508;7574;3934;3960;895;3065;measured
Achternstraße, Oldenburg;2025-01-11 00:00:00 +0100;Saturday;30016;3;partly-cloudy-day;;17050;12966;28840;1176;16404;12436;646;530;20879;15723;5156;9137;1327;7810;measured
Achternstraße, Oldenburg;2025-01-12 00:00:00 +0100;Sunday;4459;4;partly-cloudy-day;;2692;1767;4307;152;2600;1707;92;60;2585;2034;551;1874;658;1216;measured
Achternstraße, Oldenburg;2025-01-13 00:00:00 +0100;Monday;12792;3;partly-cloudy-day;;6886;5906;12207;585;6564;5643;322;263;9491;6255;3236;3301;631;2670;measured
Achternstraße, Oldenburg;2025-01-14 00:00:00 +0100;Tuesday;12548;5;partly-cloudy-day;;6660;5888;11952;596;6360;5592;300;296;8617;5887;2730;3931;773;3158;measured
Achternstraße, Oldenburg;2025-01-15 00:00:00 +0100;Wednesday;13574;6;cloudy;;7236;6338;12889;685;6877;6012;359;326;9599;6454;3145;3975;782;3193;measured
Achternstraße, Oldenburg;2025-01-16 00:00:00 +0100;Thursday;14215;5;cloudy;;7683;6532;13518;697;7290;6228;393;304;12207;7106;5101;2008;577;1431;measured
Achternstraße, Oldenburg;2025-01-17 00:00:00 +0100;Friday;16399;1;cloudy;;9005;7394;15693;706;8604;7089;401;305;11913;8070;3843;4486;935;3551;measured
Achternstraße, Oldenburg;2025-01-18 00:00:00 +0100;Saturday;29117;-1;cloudy;;16443;12674;28088;1029;15866;12222;577;452;22190;15264;6926;6927;1179;5748;measured
Achternstraße, Oldenburg;2025-01-19 00:00:00 +0100;Sunday;3442;-1;cloudy;;2003;1439;3341;101;1936;1405;67;34;1851;1413;438;1591;590;1001;measured
Achternstraße, Oldenburg;2025-01-20 00:00:00 +0100;Monday;12246;-1;cloudy;;6462;5784;11701;545;6168;5533;294;251;8771;5769;3002;3475;693;2782;measured
Achternstraße, Oldenburg;2025-01-21 00:00:00 +0100;Tuesday;12213;-1;cloudy;;6627;5586;11611;602;6288;5323;339;263;8514;5909;2605;3699;718;2981;measured
